elife06,inspecQt,elife05,elife04,inspecKb2,elife03,inspecKb1,elife02,elife01,inspecArea,inspecKb3,avgnight,avgdaytime,inspecPoint,inspecYy
47,1,50,53,종합병원,56,가,58,58,부산진구개금4동백병원주변,일반,48,56,하성약국옆,2020
61,1,65,67,일반주거1,66,나,66,66,기장군기장읍동부리,도로,63,66,기아자동차앞,2020
62,1,68,68,일반주거1,69,나,68,69,기장군기장읍동부리,도로,65,68,제비표페인트앞,2020
44,1,50,51,일반주거1,52,나,54,53,기장군기장읍동부리,일반,47,52,대진아파트앞,2020
53,1,57,58,일반주거1,57,나,62,55,기장군기장읍동부리,일반,55,58,유한빌라앞,2020
50,1,55,55,일반주거1,55,나,56,52,기장군기장읍동부리,일반,52,54,제3기장교회앞,2020
56,1,61,65,일반주거2,63,나,64,63,동래구사직2동,도로,58,63,사직로얄A입구건너편,2020
60,1,63,65,일반주거2,64,나,74,64,동래구사직2동,도로,61,66,종로엠스쿨앞,2020
55,1,60,63,일반주거2,58,나,60,62,동래구사직2동,일반,57,60,묵자골감자탕앞,2020
42,1,46,56,일반주거2,54,나,55,55,동래구사직2동,일반,44,55,사직주공안,2020
50,1,52,55,일반주거2,53,나,56,53,동래구사직2동,일반,51,54,하나메기탕앞,2020
60,1,66,68,준공업,70,다,69,70,영도구남항동,도로,63,69,남항새마을금고,2020
60,1,66,67,준공업,70,다,69,69,영도구남항동,도로,63,68,카이스트안경앞,2020
50,1,49,51,준공업,63,다,60,62,영도구남항동,일반,49,59,㈜태림오릭스옆,2020
43,1,46,53,준공업,62,다,60,62,영도구남항동,일반,44,59,신한아파트앞,2020
42,1,43,50,준공업,68,다,62,66,영도구남항동,일반,42,61,하나전기앞,2020
53,2,60,61,녹지,62,가,61,62,부산진구개금2동백병원주변,도로,56,61,개금2동새마을금고 앞,2020
55,2,62,62,녹지,63,가,65,64,부산진구개금2동백병원주변,도로,58,63,주원초등학교 앞,2020
56,2,62,64,녹지,66,가,65,66,중구대청공원내,도로,59,65,시민아파트 앞,2020
51,2,56,56,녹지,59,가,57,56,중구대청공원내,도로,53,57,시민헌장 앞,2020
45,2,51,50,녹지,53,가,53,53,중구대청공원내,일반,48,52,도서관 앞,2020
40,2,48,49,녹지,51,가,49,52,중구대청공원내,일반,44,50,동상 앞,2020
50,2,59,57,녹지,60,가,59,59,중구대청공원내,일반,54,58,충혼탑입구,2020
48,2,53,51,종합병원,56,가,58,54,부산진구개금2동백병원주변,일반,50,54,건강탕 앞,2020
46,2,49,49,종합병원,50,가,60,52,부산진구개금3동백병원주변,일반,47,52,고원아파트1동107호 앞,2020
62,4,65,67,준공업,69,다,68,69,영도구남항동,도로,63,68,남항새마을금고,2019
63,4,67,69,준공업,70,다,70,70,영도구남항동,도로,65,69,카이스트안경앞,2019
56,1,62,67,일반주거2,67,나,67,66,동래구사직2동,도로,59,66,사직로얄A입구건너편,2019
61,1,65,67,일반주거2,69,나,64,66,동래구사직2동,도로,63,66,종로엠스쿨앞,2019
58,1,59,60,일반주거2,59,나,64,58,동래구사직2동,일반,58,60,묵자골감자탕앞,2019
43,1,46,54,일반주거2,54,나,53,50,동래구사직2동,일반,44,52,사직주공안,2019
53,1,55,63,일반주거2,58,나,63,57,동래구사직2동,일반,54,60,하나메기탕앞,2019
65,1,66,67,상업,67,다,67,68,해운대구중1동,도로,65,67,메리어트호텔 우,2019
67,1,68,68,상업,68,다,68,69,해운대구중1동,도로,67,68,메리어트호텔 좌,2019
52,1,53,54,상업,56,다,57,56,해운대구중1동,일반,52,55,메리어트호텔 뒤,2019
54,1,56,58,상업,58,다,59,58,해운대구중1동,일반,55,58,파라다이스호텔 옆,2019
49,1,49,53,상업,55,다,57,56,해운대구중1동,일반,49,55,파라다이스호텔입구,2019
64,1,65,70,준공업,70,다,70,68,영도구남항동,도로,64,69,남항새마을금고,2019
60,1,64,68,준공업,68,다,67,70,영도구남항동,도로,62,68,카이스트안경앞,2019
36,1,46,60,준공업,62,다,61,62,영도구남항동,일반,41,61,㈜태림오릭스옆,2019
36,1,44,58,준공업,62,다,62,65,영도구남항동,일반,40,61,신한아파트앞,2019
36,1,39,47,준공업,62,다,61,61,영도구남항동,일반,37,57,하나전기앞,2019
59,3,57,59,녹지,62,가,63,62,부산진구개금2동백병원주변,도로,58,61,개금2동새마을금고앞,2019
58,3,59,61,녹지,66,가,64,63,부산진구개금2동백병원주변,도로,58,63,주원초등학교옆,2019
59,3,65,66,녹지,67,가,66,67,중구대청공원내,도로,62,66,시민아파트앞,2019
65,3,59,54,녹지,57,가,55,59,중구대청공원내,도로,62,56,시민헌장앞,2019
50,3,50,51,녹지,56,가,54,56,중구대청공원내,일반,50,54,도서관앞,2019
44,3,47,46,녹지,52,가,47,50,중구대청공원내,일반,45,48,동상앞,2019
52,3,57,58,녹지,59,가,59,59,중구대청공원내,일반,54,58,충혼탑입구,2019
52,3,53,56,종합병원,58,가,58,56,부산진구개금2동백병원주변,일반,52,57,건강탕앞,2019
48,3,50,53,종합병원,54,가,54,55,부산진구개금3동백병원주변,일반,49,54,고원아파트1동107호앞,2019
49,3,55,53,종합병원,58,가,60,58,부산진구개금4동백병원주변,일반,52,57,하성약국옆,2019
63,3,68,69,일반주거1,69,나,70,70,기장군기장읍동부리,도로,65,69,기아자동차앞,2019
62,3,67,68,일반주거1,68,나,68,68,기장군기장읍동부리,도로,64,68,제비표페인트앞,2019
46,3,48,58,일반주거1,53,나,54,54,기장군기장읍동부리,일반,47,54,대진아파트앞,2019
53,3,55,61,일반주거1,64,나,61,58,기장군기장읍동부리,일반,54,61,유한빌라앞,2019
55,3,56,59,일반주거1,58,나,56,53,기장군기장읍동부리,일반,55,56,제3기장교회앞,2019
55,3,61,64,일반주거2,68,나,62,64,동래구사직2동,도로,58,64,사직로얄A입구건너편,2019
58,3,63,65,일반주거2,65,나,64,65,동래구사직2동,도로,60,64,종로엠스쿨앞,2019
56,3,63,65,일반주거2,64,나,62,62,동래구사직2동,일반,59,63,묵자골감자탕앞,2019
49,3,50,54,일반주거2,55,나,55,57,동래구사직2동,일반,49,55,사직주공안,2019
51,3,55,58,일반주거2,65,나,58,66,동래구사직2동,일반,53,61,하나메기탕앞,2019
64,3,66,67,준공업,69,다,68,68,영도구남항동,도로,65,68,남항새마을금고,2019
64,3,67,68,준공업,70,다,69,70,영도구남항동,도로,65,69,카이스트안경앞,2019
51,3,48,54,준공업,63,다,59,61,영도구남항동,일반,49,59,㈜태림오릭스옆,2019
40,3,45,56,준공업,64,다,61,63,영도구남항동,일반,42,61,신한아파트앞,2019
43,3,44,49,준공업,67,다,63,66,영도구남항동,일반,43,61,하나전기앞,2019
52,4,58,59,녹지,68,가,63,61,부산진구개금2동백병원주변,도로,55,62,개금2동새마을금고앞,2019
54,4,60,62,녹지,64,가,65,64,부산진구개금2동백병원주변,도로,57,63,주원초등학교옆,2019
57,4,65,65,녹지,67,가,67,68,중구대청공원내,도로,61,66,시민아파트앞,2019
46,4,58,55,녹지,56,가,58,56,중구대청공원내,도로,52,56,시민헌장앞,2019
39,4,45,47,녹지,50,가,54,53,중구대청공원내,일반,42,51,도서관앞,2019
39,4,48,45,녹지,53,가,53,71,중구대청공원내,일반,43,55,동상앞,2019
51,4,62,58,녹지,60,가,60,60,중구대청공원내,일반,56,59,충혼탑입구,2019
44,4,50,54,종합병원,60,가,56,54,부산진구개금2동백병원주변,일반,47,56,건강탕앞,2019
48,4,49,49,종합병원,54,가,55,56,부산진구개금3동백병원주변,일반,48,53,고원아파트1동107호앞,2019
48,4,51,54,종합병원,58,가,57,56,부산진구개금4동백병원주변,일반,49,56,하성약국옆,2019
63,4,67,68,일반주거1,68,나,69,70,기장군기장읍동부리,도로,65,68,기아자동차앞,2019
62,4,66,68,일반주거1,68,나,69,69,기장군기장읍동부리,도로,64,68,제비표페인트앞,2019
51,4,47,53,일반주거1,56,나,55,56,기장군기장읍동부리,일반,49,55,대진아파트앞,2019
48,4,54,59,일반주거1,63,나,57,59,기장군기장읍동부리,일반,51,59,유한빌라앞,2019
54,4,55,57,일반주거1,58,나,54,55,기장군기장읍동부리,일반,54,56,제3기장교회앞,2019
54,4,61,64,일반주거2,65,나,62,64,동래구사직2동,도로,57,63,사직로얄A입구건너편,2019
58,4,63,65,일반주거2,66,나,63,65,동래구사직2동,도로,60,64,종로엠스쿨앞,2019
55,4,62,64,일반주거2,60,나,61,66,동래구사직2동,일반,58,62,묵자골감자탕앞,2019
40,4,48,54,일반주거2,61,나,53,55,동래구사직2동,일반,44,55,사직주공안,2019
48,4,53,56,일반주거2,57,나,58,56,동래구사직2동,일반,50,56,하나메기탕앞,2019
50,4,49,51,준공업,63,다,63,62,영도구남항동,일반,49,59,㈜태림오릭스옆,2019
49,4,51,62,준공업,63,다,61,63,영도구남항동,일반,50,62,신한아파트앞,2019
39,4,43,54,준공업,64,다,63,65,영도구남항동,일반,41,61,하나전기앞,2019
53,1,60,68,녹지,67,가,65,71,중구대청공원내,도로,56,67,시민아파트앞,2019
46,1,50,62,녹지,62,가,65,58,중구대청공원내,도로,48,61,시민헌장앞,2019
47,1,50,59,녹지,63,가,55,58,중구대청공원내,일반,48,58,도서관앞,2019
53,1,52,57,녹지,59,가,58,60,부산진구개금2동백병원주변,도로,52,58,개금2동새마을금고앞,2019
62,1,62,59,녹지,64,가,63,63,부산진구개금2동백병원주변,도로,62,62,주원초등학교옆,2019
38,1,45,44,녹지,43,가,50,46,중구대청공원내,일반,41,45,동상앞,2019
45,1,49,55,녹지,58,가,65,56,중구대청공원내,일반,47,58,충혼탑입구,2019
51,1,59,58,종합병원,57,가,57,57,부산진구개금2동백병원주변,일반,55,57,건강탕앞,2019
49,1,48,48,종합병원,52,가,47,50,부산진구개금3동백병원주변,일반,48,49,고원아파트1동107호앞,2019
46,1,47,47,종합병원,57,가,56,54,부산진구개금4동백병원주변,일반,46,53,하성약국옆,2019
62,1,67,69,일반주거1,67,나,69,67,기장군기장읍동부리,도로,64,68,기아자동차앞,2019
62,1,64,68,일반주거1,68,나,69,69,기장군기장읍동부리,도로,63,68,제비표페인트앞,2019
40,1,44,53,일반주거1,56,나,51,50,기장군기장읍동부리,일반,42,52,대진아파트앞,2019
